driver_id,age,vehicle_age_yrs,speeding_pct,harsh_braking_per100km,harsh_accel_per100km,cornering_per100km,night_driving_pct,phone_use_per_trip,max_speed_kmh,monthly_km,harsh_event_index,speed_risk_index,distraction_score,risk_score,risk_tier,is_high_risk
DRV-0207,48,7,0.1994,4.5,4.39,4.38,0.1871,1.84,109.2,293,0.2508,0.2942,0.23,33.8,Low,0
DRV-0208,43,0,0.086,4.61,2.53,2.1,0.1005,0.86,104.6,759,0.1764,0.2146,0.1075,0.0,Low,0
DRV-0209,25,3,0.0143,2.48,1.95,1.97,0.06,0.84,93.2,344,0.1215,0.1324,0.105,0.0,Low,0
DRV-0210,51,4,0.1524,6.13,5.59,5.51,0.1626,1.68,113.8,836,0.326,0.2856,0.21,96.7,High,1
DRV-0211,41,2,0.0196,2.82,2.77,1.8,0.0713,0.78,93.2,588,0.1386,0.1353,0.0975,0.0,Low,0
DRV-0212,27,1,0.1982,5.17,3.73,3.99,0.1414,2.46,95.8,594,0.2454,0.2433,0.3075,15.6,Low,0
DRV-0213,43,13,0.1703,10.74,6.28,5.91,0.1627,2.43,131.3,262,0.4377,0.361,0.3038,100.0,High,1
DRV-0214,42,0,0.2844,10.53,10.98,7.05,0.2458,3.01,137.9,145,0.5346,0.4485,0.3762,99.9,High,1
DRV-0215,36,3,0.0784,1.76,1.58,1.28,0.0652,3.08,76.2,627,0.0871,0.1039,0.385,1.1,Low,0
DRV-0216,42,3,0.045,3.29,3.5,2.07,0.1677,3.02,106.0,273,0.1655,0.1972,0.3775,3.4,Low,0
DRV-0217,45,0,0.0466,5.27,1.66,1.6,0.052,0.42,94.1,243,0.1651,0.1535,0.0525,0.0,Low,0
DRV-0218,48,5,0.1059,7.17,4.08,3.46,0.1688,1.38,90.1,176,0.2806,0.1711,0.1725,10.8,Low,0
DRV-0219,39,2,0.0,2.38,2.1,2.41,0.0582,1.82,98.0,1664,0.1308,0.1425,0.2275,0.0,Low,0
DRV-0220,34,1,0.2458,9.29,7.68,8.69,0.2069,3.1,140.3,307,0.4876,0.4363,0.3875,100.0,High,1
DRV-0221,40,4,0.0845,3.34,2.75,3.21,0.1241,1.69,123.6,468,0.1768,0.285,0.2112,5.8,Low,0
DRV-0222,52,1,0.1569,5.13,4.96,4.24,0.1453,1.99,111.3,205,0.2701,0.2787,0.2488,90.6,High,1
DRV-0223,45,1,0.0192,1.17,0.66,0.45,0.0462,1.21,83.3,1096,0.0434,0.0979,0.1512,0.0,Low,0
DRV-0224,34,5,0.0645,4.05,1.82,2.47,0.0823,0.53,83.9,301,0.1607,0.1251,0.0662,0.0,Low,0
DRV-0225,38,1,0.1694,4.11,2.81,3.57,0.1069,1.0,106.3,373,0.2004,0.2668,0.125,0.4,Low,0
DRV-0226,57,2,0.0284,3.89,6.87,2.83,0.1634,1.06,102.6,115,0.2489,0.1754,0.1325,3.6,Low,0
DRV-0227,46,1,0.0777,3.88,3.04,2.4,0.1488,1.71,114.3,868,0.1763,0.2464,0.2138,0.3,Low,0
DRV-0228,39,3,0.1094,5.51,2.35,2.72,0.1266,1.16,90.6,586,0.2038,0.1749,0.145,0.2,Low,0
DRV-0229,51,5,0.0633,1.56,1.15,1.95,0.0383,1.0,93.5,153,0.0894,0.1604,0.125,0.0,Low,0
DRV-0230,31,7,0.1206,3.38,3.25,2.82,0.144,1.01,98.4,1032,0.1782,0.2103,0.1262,0.1,Low,0
DRV-0231,41,0,0.3471,7.62,5.47,4.62,0.1713,1.84,99.5,236,0.336,0.339,0.23,98.7,High,1
DRV-0232,60,3,0.1346,3.75,5.92,2.61,0.0951,1.23,109.9,481,0.2259,0.2612,0.1538,1.1,Low,0
DRV-0233,45,3,0.15,7.86,2.53,2.06,0.1081,2.08,77.8,208,0.2406,0.1492,0.26,1.8,Low,0
DRV-0234,57,2,0.0359,3.13,2.84,2.04,0.054,1.54,90.5,660,0.1507,0.1341,0.1925,0.2,Low,0
DRV-0235,36,9,0.0979,13.2,5.9,3.64,0.1886,2.75,114.3,363,0.4351,0.2575,0.3438,98.8,High,1
DRV-0236,32,4,0.1142,4.6,5.19,3.26,0.2087,1.45,110.3,403,0.2437,0.2514,0.1812,8.8,Low,0
DRV-0237,51,1,0.1461,5.65,3.89,2.48,0.1573,2.47,104.2,622,0.2274,0.2461,0.3088,7.0,Low,0
DRV-0238,18,2,0.1156,10.28,5.44,2.51,0.1154,1.52,101.3,483,0.3465,0.2185,0.19,6.7,Low,0
DRV-0239,40,0,0.033,0.84,1.21,0.37,0.0562,0.83,86.4,469,0.0444,0.1172,0.1038,0.0,Low,0
DRV-0240,50,11,0.0447,3.91,2.5,1.59,0.0708,3.26,91.9,211,0.1517,0.1442,0.4075,1.6,Low,0
DRV-0241,44,5,0.0235,2.4,2.54,2.73,0.1138,1.91,121.9,440,0.1449,0.245,0.2388,0.5,Low,0
DRV-0242,18,2,0.023,1.22,1.44,0.83,0.0851,0.54,83.6,993,0.065,0.1011,0.0675,0.0,Low,0
DRV-0243,21,1,0.0915,3.18,2.99,1.78,0.0432,1.4,76.3,414,0.149,0.1114,0.175,0.1,Low,0
DRV-0244,36,3,0.1126,2.67,3.76,1.71,0.0677,1.0,77.3,237,0.1503,0.1268,0.125,0.0,Low,0
DRV-0245,43,22,0.0,0.8,2.9,2.21,0.041,0.34,92.6,744,0.1085,0.1222,0.0425,0.0,Low,0
DRV-0246,44,6,0.0608,1.19,1.65,0.44,0.0387,1.27,64.3,395,0.0601,0.0496,0.1588,0.0,Low,0
DRV-0247,37,5,0.0465,3.58,3.46,3.26,0.14,0.94,85.0,785,0.1945,0.1193,0.1175,0.4,Low,0
DRV-0248,46,5,0.0504,0.89,8.52,1.48,0.0309,1.26,68.9,419,0.1894,0.0611,0.1575,0.5,Low,0
DRV-0249,43,3,0.0666,3.21,3.87,2.21,0.0752,3.42,103.3,529,0.1729,0.199,0.4275,1.7,Low,0
DRV-0250,36,4,0.1516,4.01,5.7,3.92,0.1289,0.62,109.1,119,0.2536,0.2675,0.0775,3.1,Low,0
DRV-0251,44,7,0.0694,5.9,4.56,3.6,0.0871,1.15,90.3,575,0.266,0.1518,0.1438,1.4,Low,0
DRV-0252,30,4,0.0716,4.34,4.85,3.43,0.0692,1.47,99.0,68,0.2362,0.1856,0.1838,0.7,Low,0
DRV-0253,45,7,0.1338,4.77,3.87,3.42,0.0939,1.41,70.6,635,0.2283,0.1133,0.1762,0.4,Low,0
DRV-0254,27,4,0.0,6.39,1.39,2.74,0.0712,0.36,78.3,506,0.2058,0.0686,0.045,0.0,Low,0
DRV-0255,43,4,0.0264,1.59,0.91,2.12,0.06,0.78,94.3,679,0.0894,0.1431,0.0975,0.0,Low,0
DRV-0256,43,3,0.0405,2.57,2.48,4.18,0.0646,1.63,89.2,271,0.1763,0.1318,0.2037,0.0,Low,0
DRV-0257,34,9,0.1986,9.51,6.65,5.84,0.2181,2.59,144.4,954,0.4178,0.4257,0.3238,99.9,High,1
DRV-0258,45,0,0.0271,2.83,3.99,2.5,0.073,2.22,65.4,415,0.1731,0.0352,0.2775,0.4,Low,0
DRV-0259,56,5,0.1383,6.42,2.7,4.25,0.0888,0.72,87.5,409,0.2584,0.1792,0.09,0.7,Low,0
DRV-0260,25,3,0.077,6.06,5.18,4.13,0.1507,1.68,111.2,377,0.2901,0.2344,0.21,79.7,High,0
DRV-0261,49,2,0.0597,3.01,1.33,2.13,0.063,0.3,91.1,1117,0.125,0.1495,0.0375,0.0,Low,0
DRV-0262,51,0,0.075,5.04,3.31,1.33,0.171,0.87,99.0,495,0.1826,0.1875,0.1088,0.8,Low,0
DRV-0263,35,5,0.0,3.93,4.57,3.57,0.0714,0.9,97.5,172,0.2262,0.1406,0.1125,0.0,Low,0
DRV-0264,47,5,0.1867,6.35,6.38,4.0,0.1572,1.62,101.8,340,0.3133,0.2594,0.2025,94.5,High,1
DRV-0265,34,2,0.0045,4.24,2.95,3.7,0.1022,1.93,91.1,518,0.208,0.1191,0.2412,0.2,Low,0
DRV-0266,53,3,0.1289,6.84,4.36,4.0,0.1268,1.82,128.6,875,0.2895,0.3281,0.2275,55.0,Moderate,0
DRV-0267,18,0,0.0512,2.82,3.5,1.99,0.0897,0.92,83.5,256,0.1545,0.1163,0.115,0.0,Low,0
DRV-0268,55,4,0.1813,6.98,5.61,6.98,0.1958,2.02,104.3,1450,0.3727,0.2658,0.2525,95.1,High,1
DRV-0269,24,2,0.0274,5.72,3.5,2.77,0.1647,1.29,112.2,384,0.2281,0.2108,0.1612,1.4,Low,0
DRV-0270,39,3,0.2,8.04,5.82,5.35,0.1996,2.54,111.3,317,0.3648,0.3024,0.3175,99.8,High,1
DRV-0271,28,1,0.1401,3.03,3.99,2.3,0.1209,0.87,120.8,155,0.1731,0.3051,0.1088,2.0,Low,0
DRV-0272,55,15,0.1085,8.5,6.59,3.6,0.1596,1.84,148.7,771,0.3518,0.3923,0.23,96.0,High,1
DRV-0273,35,6,0.1155,6.08,5.56,4.06,0.2146,1.68,111.8,252,0.2955,0.2578,0.21,95.8,High,1
DRV-0274,31,9,0.1915,7.24,8.35,3.8,0.1778,2.19,121.3,179,0.36,0.3352,0.2738,99.7,High,1
DRV-0275,51,0,0.095,2.31,2.2,2.01,0.1135,0.81,73.2,245,0.1231,0.1018,0.1013,0.0,Low,0
DRV-0276,46,5,0.0,6.71,4.85,3.45,0.1535,1.45,123.0,829,0.284,0.2362,0.1812,50.7,Moderate,0
DRV-0277,33,3,0.212,5.54,2.63,3.75,0.1886,0.96,74.0,544,0.2296,0.1691,0.12,2.3,Low,0
DRV-0278,26,4,0.0609,1.32,2.62,1.48,0.0394,0.43,70.6,289,0.0997,0.0732,0.0538,0.0,Low,0
DRV-0279,24,0,0.118,3.16,3.18,1.95,0.1496,1.3,98.8,275,0.1552,0.2104,0.1625,0.1,Low,0
DRV-0280,53,7,0.0941,4.09,5.52,2.69,0.1547,1.7,110.1,843,0.2276,0.2396,0.2125,2.3,Low,0
DRV-0281,43,12,0.0,9.77,2.05,1.95,0.0387,1.93,69.9,457,0.2686,0.0371,0.2412,3.2,Low,0
DRV-0282,40,3,0.1198,3.18,3.83,1.95,0.1056,0.8,91.6,483,0.1664,0.1844,0.1,0.0,Low,0
DRV-0283,43,1,0.152,12.32,7.44,4.53,0.1661,2.26,102.6,613,0.461,0.2434,0.2825,96.6,High,1
DRV-0284,18,0,0.0727,1.92,1.75,0.95,0.0571,0.42,85.4,63,0.0866,0.1352,0.0525,0.1,Low,0
DRV-0285,34,0,0.1479,6.33,5.77,4.5,0.1762,3.34,107.2,562,0.3128,0.2583,0.4175,96.7,High,1
DRV-0286,34,14,0.2247,8.58,7.93,5.9,0.1956,2.39,120.5,197,0.4218,0.3505,0.2988,99.9,High,1
DRV-0287,49,3,0.0,4.38,1.68,1.0,0.0739,1.23,97.1,132,0.1356,0.1391,0.1538,0.0,Low,0
DRV-0288,20,7,0.0929,4.08,1.83,1.51,0.0464,0.87,92.8,787,0.1423,0.1741,0.1088,0.0,Low,0
DRV-0289,50,9,0.0988,7.11,5.26,9.98,0.1672,2.42,125.6,979,0.4295,0.3003,0.3025,99.2,High,1
DRV-0290,59,13,0.1875,3.0,2.19,1.37,0.1405,0.55,90.5,398,0.1239,0.2175,0.0688,0.6,Low,0
DRV-0291,18,13,0.1568,0.86,0.85,4.17,0.0309,0.65,93.8,509,0.1148,0.213,0.0812,0.0,Low,0
DRV-0292,38,3,0.1237,1.98,1.26,1.83,0.0343,0.39,85.5,887,0.0972,0.1637,0.0488,0.0,Low,0
DRV-0293,43,10,0.2842,8.25,6.05,4.91,0.2591,2.45,121.6,815,0.364,0.3873,0.3062,99.9,High,1
DRV-0294,48,8,0.0081,3.49,0.76,0.78,0.0704,0.54,89.9,795,0.0981,0.1166,0.0675,0.0,Low,0
DRV-0295,18,8,0.0829,1.03,1.28,1.99,0.0161,0.34,77.9,439,0.0817,0.1127,0.0425,0.0,Low,0
DRV-0296,42,2,0.0754,3.55,2.87,2.08,0.0766,1.46,94.6,296,0.1604,0.1712,0.1825,0.0,Low,0
DRV-0297,35,2,0.1003,8.9,6.84,4.64,0.1659,2.88,137.0,212,0.3848,0.3439,0.36,99.8,High,1
DRV-0298,34,6,0.2025,4.27,4.34,2.99,0.1116,1.17,117.4,461,0.2175,0.3266,0.1462,5.5,Low,0
DRV-0299,62,1,0.1838,6.2,4.26,3.01,0.1295,1.17,103.0,319,0.2552,0.2623,0.1462,8.1,Low,0
DRV-0300,35,7,0.2398,8.45,6.95,5.87,0.2498,3.46,145.7,215,0.4022,0.4533,0.4325,100.0,High,1
DRV-0301,43,3,0.0,2.55,4.06,3.93,0.0652,0.78,73.7,470,0.1973,0.0514,0.0975,0.1,Low,0
DRV-0302,36,4,0.0684,3.63,3.54,4.04,0.1157,1.39,100.2,154,0.2124,0.1884,0.1737,0.0,Low,0
DRV-0303,40,4,0.0,5.9,2.15,1.07,0.0519,2.11,78.6,346,0.1752,0.0697,0.2638,1.1,Low,0
DRV-0304,44,3,0.1354,5.71,4.11,2.98,0.0747,0.96,98.0,450,0.2423,0.217,0.12,0.6,Low,0
DRV-0305,48,21,0.0,4.27,2.47,2.99,0.0987,1.08,105.7,405,0.1864,0.1714,0.135,0.0,Low,0
DRV-0306,28,6,0.1314,4.93,3.48,2.99,0.1675,1.73,112.8,548,0.2164,0.2703,0.2162,3.5,Low,0
DRV-0307,39,3,0.0611,8.57,3.23,8.01,0.1117,1.27,110.6,430,0.3854,0.2234,0.1588,3.8,Low,0
DRV-0308,40,3,0.0,1.95,3.62,1.41,0.0744,0.74,91.1,1373,0.1275,0.1166,0.0925,0.0,Low,0
DRV-0309,18,0,0.0417,1.87,1.06,1.09,0.1011,0.96,84.3,338,0.0769,0.1141,0.12,0.0,Low,0
DRV-0310,26,1,0.0127,1.27,6.0,1.39,0.1118,0.69,101.9,331,0.1532,0.1641,0.0862,0.0,Low,0
DRV-0311,48,5,0.2765,8.71,6.92,6.49,0.2197,2.84,113.2,299,0.4193,0.3516,0.355,100.0,High,1
DRV-0312,32,0,0.0,3.62,3.19,6.74,0.0505,1.39,84.2,273,0.2604,0.0908,0.1737,0.2,Low,0
DRV-0313,69,1,0.0,2.38,0.72,1.35,0.0921,0.29,90.2,162,0.0866,0.1133,0.0362,0.0,Low,0
DRV-0314,49,6,0.0189,9.23,6.18,4.05,0.1763,2.96,135.4,186,0.3686,0.2931,0.37,97.5,High,1
DRV-0315,43,8,0.0,6.59,1.69,1.52,0.0641,1.33,87.5,611,0.1904,0.1031,0.1662,0.0,Low,0
DRV-0316,56,3,0.1629,4.08,1.64,1.97,0.0695,0.61,89.4,153,0.1483,0.1998,0.0762,0.0,Low,0
DRV-0317,47,0,0.1873,2.48,1.91,1.57,0.0556,0.97,78.8,390,0.1128,0.1735,0.1212,0.0,Low,0
DRV-0318,40,2,0.108,4.9,4.42,2.82,0.1386,1.1,96.9,212,0.2281,0.1978,0.1375,0.7,Low,0
DRV-0319,21,3,0.106,11.84,4.58,4.24,0.143,2.59,124.0,330,0.3979,0.2983,0.3238,98.2,High,1
DRV-0320,45,8,0.0289,7.77,1.83,5.01,0.0562,0.96,109.6,681,0.2861,0.2019,0.12,1.2,Low,0
DRV-0321,54,7,0.2335,8.22,7.05,10.58,0.1861,1.88,117.9,276,0.4935,0.3456,0.235,99.6,High,1
DRV-0322,30,0,0.092,4.98,4.2,5.06,0.1979,1.4,98.5,471,0.2708,0.195,0.175,19.9,Low,0
DRV-0323,18,10,0.0746,2.68,1.76,2.42,0.0941,1.48,94.6,280,0.1313,0.1708,0.185,0.0,Low,0
DRV-0324,25,3,0.1574,5.76,4.78,5.72,0.1869,1.67,96.8,226,0.3093,0.2246,0.2088,93.9,High,1
DRV-0325,59,7,0.1336,5.89,5.15,3.9,0.183,2.31,133.2,370,0.2816,0.348,0.2888,98.0,High,1
DRV-0326,38,0,0.0729,5.37,3.78,2.58,0.1184,1.1,89.1,405,0.222,0.1492,0.1375,0.0,Low,0
DRV-0327,55,5,0.2852,11.25,11.65,6.27,0.2347,3.16,144.9,260,0.5446,0.4752,0.395,99.9,High,1
DRV-0328,38,9,0.1172,7.3,5.83,4.71,0.2108,2.11,123.8,290,0.3374,0.3037,0.2638,100.0,High,1
DRV-0329,32,7,0.1445,8.94,4.38,3.23,0.1263,1.76,114.4,79,0.3164,0.2835,0.22,34.3,Low,0
DRV-0330,63,2,0.1477,9.67,5.78,4.49,0.1684,1.94,123.3,703,0.3795,0.3186,0.2425,99.6,High,1
DRV-0331,33,3,0.1915,9.39,5.46,4.45,0.1677,2.0,122.1,51,0.3678,0.3382,0.25,99.7,High,1
DRV-0332,35,3,0.0925,2.84,0.98,1.17,0.0273,0.11,87.3,756,0.0965,0.1532,0.0138,0.0,Low,0
DRV-0333,43,2,0.0,2.26,8.91,0.35,0.0135,0.57,92.3,476,0.2007,0.1211,0.0712,0.4,Low,0
DRV-0334,34,4,0.0819,1.24,1.85,0.64,0.0539,0.67,107.7,817,0.0684,0.2239,0.0838,0.1,Low,0
DRV-0335,47,0,0.0579,6.34,6.77,4.17,0.1536,1.96,104.6,1401,0.323,0.1991,0.245,88.6,High,1
DRV-0336,43,0,0.0323,4.16,2.65,1.65,0.0716,1.38,71.8,778,0.1604,0.062,0.1725,0.0,Low,0
DRV-0337,43,0,0.0239,2.45,5.19,0.96,0.028,0.47,66.5,226,0.1547,0.0375,0.0588,0.3,Low,0
DRV-0338,30,2,0.1627,2.49,1.59,1.35,0.0656,0.71,69.1,1453,0.1033,0.1236,0.0888,0.1,Low,0
DRV-0339,18,0,0.0,3.67,3.57,2.89,0.2097,1.57,89.7,161,0.1907,0.1114,0.1962,1.2,Low,0
DRV-0340,28,15,0.1293,5.32,4.71,5.67,0.1562,1.64,95.0,105,0.2983,0.2024,0.205,62.5,Moderate,0
DRV-0341,29,2,0.1356,4.74,1.71,1.25,0.0424,1.69,86.0,999,0.1483,0.1721,0.2112,0.0,Low,0
DRV-0342,41,1,0.0747,5.23,4.07,3.04,0.1426,1.38,118.1,519,0.2332,0.259,0.1725,2.0,Low,0
DRV-0343,28,1,0.113,4.99,5.72,3.4,0.1467,1.42,116.3,96,0.2631,0.2733,0.1775,36.8,Low,0
DRV-0344,20,4,0.2395,11.17,8.07,11.39,0.279,2.35,122.7,204,0.5857,0.3668,0.2938,100.0,High,1
DRV-0345,24,1,0.1111,6.14,3.67,2.29,0.1057,1.52,96.4,435,0.2298,0.1976,0.19,0.6,Low,0
DRV-0346,42,2,0.4041,11.76,9.1,7.52,0.2773,3.9,175.0,293,0.5373,0.6535,0.4875,99.8,High,1
DRV-0347,46,6,0.0989,2.67,2.2,3.23,0.1283,0.99,103.6,287,0.1547,0.2179,0.1238,0.0,Low,0
DRV-0348,31,2,0.1272,3.17,2.71,2.02,0.0679,1.64,92.9,856,0.149,0.1933,0.205,0.0,Low,0
DRV-0349,33,2,0.1316,8.36,4.59,4.12,0.1645,1.55,116.5,1432,0.3261,0.2843,0.1938,89.8,High,1
DRV-0350,45,0,0.1578,7.84,7.94,4.78,0.1771,2.89,122.8,521,0.3847,0.3223,0.3612,99.9,High,1
DRV-0351,39,7,0.0088,1.12,2.34,0.58,0.0652,1.85,109.2,316,0.073,0.1893,0.2312,0.0,Low,0
DRV-0352,52,1,0.0,4.39,3.7,3.37,0.0563,0.84,87.4,848,0.2169,0.1028,0.105,0.1,Low,0
DRV-0353,36,15,0.1337,5.25,4.05,3.63,0.1467,1.51,105.7,235,0.2451,0.2449,0.1888,14.3,Low,0
DRV-0354,28,0,0.137,7.73,5.06,3.84,0.1612,2.76,96.8,86,0.3157,0.2134,0.345,94.9,High,1
DRV-0355,51,5,0.0,2.27,1.37,1.03,0.0641,0.31,78.2,75,0.0888,0.0683,0.0388,0.1,Low,0
DRV-0356,34,9,0.1235,4.83,3.31,3.88,0.0859,1.25,94.8,267,0.2294,0.1984,0.1562,0.0,Low,0
DRV-0357,28,8,0.1452,7.5,9.7,5.9,0.1955,2.15,134.7,586,0.4297,0.36,0.2688,99.9,High,1
DRV-0358,48,4,0.1577,7.23,4.11,3.88,0.1729,1.81,96.2,349,0.2907,0.2225,0.2262,51.1,Moderate,0
DRV-0359,55,1,0.0552,3.92,2.49,2.85,0.104,1.1,99.8,695,0.1769,0.1796,0.1375,0.0,Low,0
DRV-0360,40,3,0.3215,9.28,7.96,6.45,0.2727,2.7,130.3,483,0.4473,0.4405,0.3375,99.9,High,1
DRV-0361,25,1,0.1138,5.23,4.08,3.21,0.1967,2.97,98.2,718,0.2368,0.2058,0.3713,22.0,Low,1
DRV-0362,56,8,0.1963,7.74,4.54,3.7,0.1608,1.71,102.5,257,0.3045,0.2673,0.2138,93.7,High,1
DRV-0363,42,13,0.2147,7.87,7.02,7.34,0.2779,2.51,124.5,349,0.4212,0.36,0.3137,100.0,High,1
DRV-0364,40,6,0.1774,6.08,4.32,4.61,0.1848,1.57,111.6,402,0.2858,0.2911,0.1962,72.3,High,0
DRV-0365,33,7,0.0816,3.17,2.36,1.79,0.1218,1.54,94.8,296,0.1385,0.1754,0.1925,0.2,Low,0
DRV-0366,51,5,0.0384,5.68,7.32,4.37,0.134,1.43,101.6,109,0.323,0.1771,0.1788,56.0,Moderate,1
DRV-0367,24,1,0.1714,4.29,5.74,3.0,0.1316,2.13,103.7,598,0.2415,0.2581,0.2662,5.5,Low,0
DRV-0368,23,14,0.05,4.19,1.97,1.43,0.1106,1.35,88.7,327,0.1452,0.1351,0.1688,0.0,Low,0
DRV-0369,60,0,0.3194,12.96,8.59,6.53,0.2591,3.16,129.7,303,0.533,0.437,0.395,99.8,High,1
DRV-0370,27,5,0.18,4.93,5.53,5.46,0.1481,1.4,112.7,285,0.3,0.2966,0.175,61.9,Moderate,1
DRV-0371,49,15,0.1149,6.86,4.86,4.81,0.1612,2.34,138.6,184,0.3144,0.3579,0.2925,99.7,High,1
DRV-0372,54,2,0.0857,5.98,4.35,3.22,0.1627,2.05,110.3,234,0.2565,0.2358,0.2562,64.0,Moderate,1
DRV-0373,40,6,0.0577,1.6,2.06,1.7,0.0522,0.35,66.7,448,0.1003,0.0569,0.0438,0.0,Low,0
DRV-0374,27,0,0.1101,8.07,6.75,2.94,0.1432,1.84,127.0,280,0.3327,0.3118,0.23,38.4,Low,0
DRV-0375,45,4,0.1091,4.55,2.9,3.43,0.1016,0.86,107.2,644,0.2079,0.237,0.1075,0.3,Low,0
DRV-0376,54,7,0.0255,2.13,7.7,1.8,0.0434,1.3,105.5,198,0.2069,0.1846,0.1625,0.3,Low,0
DRV-0377,42,6,0.1486,4.09,2.82,3.02,0.0955,1.69,99.4,203,0.1892,0.2295,0.2112,0.8,Low,0
DRV-0378,29,4,0.1031,2.85,5.59,1.79,0.1028,0.79,88.4,750,0.186,0.1632,0.0988,0.1,Low,0
DRV-0379,41,2,0.2437,7.8,8.66,5.25,0.267,2.74,121.0,463,0.4053,0.3628,0.3425,99.9,High,1
DRV-0380,21,0,0.0377,3.81,2.06,2.09,0.0727,0.62,107.4,883,0.1523,0.1985,0.0775,0.1,Low,0
DRV-0381,26,6,0.0619,2.09,1.99,1.44,0.0557,1.07,110.2,644,0.1038,0.2223,0.1338,0.1,Low,0
DRV-0382,34,4,0.1297,2.73,3.27,2.03,0.1071,0.72,82.2,149,0.1497,0.1546,0.09,0.0,Low,0
DRV-0383,38,0,0.155,8.58,8.49,4.19,0.163,3.18,85.9,301,0.3969,0.1824,0.3975,88.4,High,1
DRV-0384,23,2,0.0501,1.33,0.86,2.21,0.0449,1.1,84.0,734,0.0851,0.1176,0.1375,0.0,Low,0
DRV-0385,40,0,0.1434,8.59,7.55,3.36,0.157,2.46,101.3,1335,0.3648,0.2337,0.3075,79.6,High,1
DRV-0386,44,2,0.1072,4.88,3.43,2.73,0.111,1.42,94.3,256,0.2094,0.1876,0.1775,0.1,Low,0
DRV-0387,35,10,0.2443,6.53,5.05,3.61,0.1609,1.99,109.3,214,0.287,0.3192,0.2488,97.5,High,1
DRV-0388,18,4,0.1559,3.63,3.0,3.98,0.0756,1.02,104.1,1038,0.2022,0.2511,0.1275,0.7,Low,0
DRV-0389,39,3,0.1429,7.84,4.5,4.11,0.1291,1.63,102.2,294,0.314,0.2368,0.2037,85.3,High,1
DRV-0390,59,5,0.1575,5.0,4.47,3.57,0.133,1.6,114.7,541,0.2459,0.2918,0.2,67.6,Moderate,1
DRV-0391,43,25,0.0041,4.46,2.33,1.52,0.1327,1.45,89.1,318,0.1584,0.1114,0.1812,0.5,Low,0
DRV-0392,38,2,0.0055,1.69,0.73,0.63,0.0342,0.28,60.0,348,0.0586,0.003,0.035,0.0,Low,0
DRV-0393,33,5,0.158,6.49,9.49,3.75,0.1369,1.54,118.4,233,0.363,0.3059,0.1925,93.7,High,1
DRV-0394,44,8,0.1626,9.3,4.82,3.21,0.1231,1.51,100.1,276,0.3305,0.2398,0.1888,18.1,Low,0
DRV-0395,40,7,0.1473,5.2,3.51,3.52,0.1102,1.15,88.2,214,0.2329,0.1868,0.1438,0.1,Low,0
DRV-0396,46,3,0.097,7.18,5.33,4.44,0.1902,2.93,108.7,465,0.3212,0.236,0.3662,96.5,High,1
DRV-0397,24,0,0.0864,1.62,1.91,3.08,0.0355,0.37,88.8,399,0.1258,0.1555,0.0462,0.0,Low,0
DRV-0398,39,5,0.0976,3.79,3.74,3.22,0.1138,1.11,104.1,502,0.2025,0.2191,0.1388,0.0,Low,0
DRV-0399,32,21,0.0,1.2,1.42,0.64,0.0219,0.52,92.0,261,0.0605,0.12,0.065,0.0,Low,0
DRV-0400,42,1,0.0903,4.18,1.53,1.33,0.0434,0.37,87.6,305,0.1357,0.1532,0.0462,0.0,Low,0
DRV-0401,18,1,0.1992,10.23,3.76,3.41,0.1257,1.15,91.4,550,0.3355,0.2273,0.1438,4.4,Low,0
DRV-0402,33,6,0.0835,3.28,5.08,1.67,0.0666,0.97,60.0,551,0.1837,0.0459,0.1212,0.0,Low,0
DRV-0403,44,0,0.2539,7.7,6.29,4.88,0.2033,2.65,129.8,97,0.3564,0.4014,0.3312,99.9,High,1
DRV-0404,46,4,0.0888,2.41,1.24,1.21,0.0992,1.63,97.4,338,0.0931,0.1891,0.2037,0.0,Low,0
DRV-0405,37,0,0.1956,8.34,3.22,3.04,0.1047,2.58,103.1,182,0.2813,0.2692,0.3225,11.2,Low,0
DRV-0406,18,1,0.1789,4.74,4.24,3.19,0.1597,1.55,118.8,511,0.2293,0.3189,0.1938,13.3,Low,0
DRV-0407,45,2,0.0,1.53,3.78,1.01,0.0721,0.87,77.3,1055,0.1138,0.0649,0.1088,0.0,Low,0
DRV-0408,57,2,0.233,4.79,3.35,3.33,0.1865,1.16,101.5,75,0.2182,0.2838,0.145,5.8,Low,0
DRV-0409,27,6,0.1231,4.85,2.75,1.47,0.0766,0.83,82.5,189,0.1722,0.1521,0.1038,0.0,Low,0
DRV-0410,32,0,0.0853,8.96,3.52,5.71,0.1036,1.38,114.9,270,0.3521,0.2528,0.1725,2.8,Low,0
DRV-0411,47,4,0.0216,5.19,3.94,2.69,0.1313,1.0,88.1,361,0.2233,0.1173,0.125,0.2,Low,0
DRV-0412,47,0,0.0749,2.35,1.47,1.2,0.0796,0.78,114.9,722,0.0955,0.2471,0.0975,0.0,Low,0
DRV-0413,51,15,0.0436,2.59,1.76,5.25,0.0963,1.96,87.8,379,0.1861,0.1282,0.245,0.4,Low,0
DRV-0414,50,3,0.0805,3.54,2.15,2.24,0.0753,0.94,103.5,263,0.1514,0.2074,0.1175,0.0,Low,0
DRV-0415,19,1,0.094,2.59,1.47,3.38,0.0539,1.35,85.4,196,0.1439,0.147,0.1688,0.0,Low,0
